"question_id";"obj_id";"question_desc";"question_text";"question_answer";"question_type";"question_difficulty";"answer_explanation";"points_definition";"max_points";"source/other"
1;1;"";"<table><tbody><tr><td><table><tbody><tr><td><table><tbody><tr><td><p></p><p>__________________________________________________________________________________________</p><p>__________________________________________________________________________________________</p><p>__________________________________________________________________________________________</p><p>__________________________________________________________________________________________</p><p>__________________________________________________________________________________________</p></td></tr></tbody></table></td></tr></tbody></table></td></tr></tbody></table>";"C) Nathan";"multiple choice";1;"None of the other members exist";"all or nothing";1;""
2;1;"";"Define ""Bore"""""""""""""""" for diesel engines""""""""""""""";"";"Short answer";2;"";"";5;""
3;1;"";"Define ""Stroke"""""""""""""""" for diesel engines""""""""""""""";"";"Short answer";3;"";"";5;""
4;1;"";"Define ""Combustion chamber"""""""""""""""" for diesel engines""""""""""""""";"";"Short answer";4;"";"";5;""
5;1;"";"Draw a line connecting the term to its definition";"";"Draw";5;"";"";5;""
6;1;"";"Match the following terms to their definitions:
Compression ratio
Bore
Stroke
Combustion chamber
A. The distance the piston travels up and down inside the cylinder
B. The ratio of the cylinder's volume at its largest to its smallest size
C. The space where the fuel-air mixture burns in a diesel engine
D. The diameter of the cylinder";"";"Matching";1;"";"";8;""
7;1;"";"Which of the following is NOT a factor that affects a diesel engine's compression ratio?
A. The volume of the cylinder at its smallest size
B. The volume of the combustion chamber
C. The type of fuel used
D. The length of the stroke";"";"Multiple Choice";2;"";"";2;""
8;1;"";"What is the typical range of compression ratios for diesel engines?
A. 8:1 to 12:1
B. 14:1 to 22:1
C. 25:1 to 30:1
D. 35:1 and up";"";"Multiple Choice";3;"";"";2;""
9;1;"";"Describe the difference between bore and stroke in a diesel engine.";"";"Short answer";4;"";"";5;""
10;1;"";"What is the main function of the combustion chamber in a diesel engine?";"";"Short answer";5;"";"";5;""
11;1;"";"Explain how the size of the bore and stroke can affect the power output of a diesel engine.";"";"Short answer";1;"";"";5;""
12;2;"";"Match the following terms to their descriptions:
A. Cylinder
B. Crankshaft
C. Fuel injector
D. Piston/rod
E. Exhaust valve
F. Intake valve
G. Blower
Rotating shaft that converts reciprocating motion to rotational power.
Component that sprays fuel into the combustion chamber.
Chamber where air-fuel mixture burns and expands.
Part that moves up and down inside the cylinder, connected to the crankshaft.
Valve that allows exhaust gases to leave the cylinder.
Valve that allows fresh air to enter the cylinder.
Device that compresses intake air before it enters the cylinder (optional).";"";"Matching";2;"";"";14;""
13;2;"";"Which component converts linear piston movement into rotational force?
A. Cylinder
B. Fuel injector
C. Crankshaft
D. Supercharger";"";"Multiple Choice";3;"";"";2;""
14;2;"";"What component is responsible for delivering fuel at the proper timing for combustion?
A. Intake valve
B. Exhaust valve
C. Piston/rod
D. Fuel injector";"";"Multiple Choice";4;"";"";2;""
15;2;"";"True or False: All diesel engines have a supercharger.";"";"True/False";5;"";"";2;""
16;2;"";"True or False: The number of pistons in a diesel engine is always equal to the number of cylinders.";"";"True/False";1;"";"";2;""
17;2;"";"Analyze the provided diagram of a diesel engine and label the following components: piston/rod, cylinder, crankshaft, intake and exhaust ports or valves, fuel injector. (Bonus points for correctly identifying a supercharger if present.)";"";"Diagram";2;"";"";10;""
18;2;"";"Describe how the size and design of the intake and exhaust ports can affect engine performance.";"";"Short answer";3;"";"";5;""
19;2;"";"Explain the potential consequences of a malfunctioning fuel injector in a diesel engine.";"";"Short answer";4;"";"";5;""
20;3;"";"Match the following stages of the four-stroke cycle with their descriptions:
A. Intake Stroke
B. Compression Stroke
C. Power Stroke
D. Exhaust Stroke
Air is drawn into the cylinder.
Compressed air ignites the fuel, pushing the piston down.
Hot exhaust gases are expelled from the cylinder.
Piston compresses the air in the cylinder to a high pressure and temperature.";"";"Matching";5;"";"";5;""
21;3;"";"What ignites the fuel in a diesel engine?
A. Spark plug
B. Glow plug (in some engines)
C. Compression and heat
D. Battery";"";"Multiple Choice";1;"";"";5;""
22;3;"";"What happens during the power stroke of a diesel engine?
A. Fuel is injected.
B. Air is drawn in.
C. Exhaust gases are expelled.
D. Chemical energy is converted into mechanical energy.";"";"Multiple Choice";2;"";"";5;""
23;3;"";"Explain the role of the high compression ratio in a diesel engine.";"";"Short answer";3;"";"";5;""
24;3;"";"Describe the relationship between fuel injection timing and engine efficiency.";"";"Short answer";4;"";"";5;""
25;3;"";"Compare and contrast the ignition process in a diesel engine to that of a gasoline engine.";"";"Short answer";5;"";"";5;""
26;3;"";"Analyze a diagram of a diesel engine and label the components involved in each stage of the four-stroke cycle.";"";"Diagram";1;"";"";5;""
27;3;"";"Explain the path of air, fuel, and exhaust gases through the engine during each stroke.";"";"Short answer";2;"";"";5;""
28;3;"";"Explain the working principle of a two-stroke diesel engine (if applicable).";"";"Short answer";3;"";"";5;""
29;4;"";"Match the following terms to their descriptions:
A. Compression Stroke
B. Fuel Injection
C. Atomization
D. Vaporization
E. Self-Ignition
F. Flame Propagation
Rapid expansion of burning fuel mixture.
Breaking fuel into tiny droplets.
Converting liquid fuel into gas.
Injecting fuel mist into hot air.
Heating air to high temperature with piston movement.
Spontaneous combustion due to heat and pressure.";"";"Matching";4;"";"";5;""
30;4;"";"What ignites the fuel in a diesel engine?
A. Spark plug
B. Glow plug (in some engines)
C. Compression and heat
D. Battery";"";"Multiple Choice";5;"";"";5;""
